HGNC symbol	UniProtKB/Swiss-Prot ID
MT-ND1	P03886
MT-ND2	P03891
MT-CO1	P00395
MT-CO2	P00403
MT-ATP8	P03928
MT-ATP6	P00846
MT-CO3	P00414
MT-ND3	P03897
MT-ND4L	P03901
MT-ND4	P03905
MT-ND5	P03915
MT-ND6	P03923
MT-CYB	P00156
PCMTD2	Q9NV79
INTS3	Q68E01
KIR2DS2	P43631
PTCHD3	Q3KNS1
NPBWR2	P48146
KIR2DL3	P43628
KIR2DL4	Q99706
KIR2DS4	P43632
KIR2DS5	Q14953
HS3ST6	Q96QI5
GATAD2B	Q8WXI9
FCAR	P24071
KIR2DL2	P43627
KIR2DL5A	Q8N109
SBNO2	Q9Y2G9
KIR2DS3	Q14952
MYT1	Q01538
OR9G4	Q8NGQ1
SLC27A3	Q5K4L6
KIR3DL1	P43629
KIR2DS1	Q14954
ZNF100	Q8IYN0
KIR3DL2	P43630
ARHGEF26	Q96DR7
ZNF85	Q03923
KRTAP9-2	Q9BYQ4
KRTAP9-4	Q9BYQ2
KRTAP9-3	Q9BYQ3
KRTAP29-1	A8MX34
PIWIL1	Q96J94
KRTAP9-6	A8MVA2
KRTAP9-7	A8MTY7
KRTAP9-9	Q9BYP9
KIR2DL5B	Q8NHK3
DLG5	Q8TDM6
KIR2DL1	P43626
RPS17	P08708
CCDC92	Q53HC0
DSEL	Q8IZU8
SKA1	Q96BD8
LSM14A	Q8ND56
SPATC1L	Q9H0A9
GOLGA6L1	Q8N7Z2
APOBEC3A	P31941
RXFP3	Q9NSD7
CPEB1	Q9BZB8
CNTNAP2	Q9UHC6
G6PC2	Q9NQR9
KIR3DL3	Q8N743
SMN2	Q16637
AADACL2	Q6P093
METRNL	Q641Q3
SPC25	Q9HBM1
GOLGA6L9	A6NEM1
GART	P22102
DNAJC28	Q9NX36
DECR2	Q9NUI1
KRT20	P35900
KRTAP3-1	Q9BYR8
IFNGR2	P38484
KRTAP5-6	Q6L8G9
KRTAP5-1	Q6L8H4
KRTAP5-4	Q6L8H1
KRTAP3-2	Q9BYR7
KRTAP2-4	Q9BYR9
DUSP8	Q13202
KRTAP5-3	Q6L8H2
KRTAP5-2	Q701N4
KRT23	Q9C075
RAB11FIP3	O75154
TMEM50B	P56557
B3GNTL1	Q67FW5
	P0DMU3
KRT40	Q6A162
PAXBP1	Q9Y5B6
KRTAP1-1	Q07627
KRTAP4-11	Q9BYQ6
C21orf62	Q9NYP8
KRTAP1-3	Q8IUG1
GTF2H2	Q13888
KRTAP4-16	G5E9R7
KRT12	Q99456
KRTAP1-5	Q9BYS1
KRT39	Q6A163
KRTAP2-1	Q9BYU5
KRTAP3-3	Q9BYR6
KRTAP2-3	P0C7H8
KRTAP4-12	Q9BQ66
KRTAP1-4	P0C5Y4
PHRF1	Q9P1Y6
SERF1B	O75920
LMNTD2	Q8IXW0
NDUFA6	P56556
SMDT1	Q9H4I9
RNH1	P13489
SINHCAF	Q9NP50
TCF20	Q9UGU0
CYP2D6	P10635
ABR	Q12979
TNFRSF14	Q92956
TTC34	A8MYJ7
DRD4	P21917
OR11A1	Q9GZK7
OR2B3	O76000
TIMM22	Q9Y584
MUC20	Q8N307
OR2T6	Q8NHC8
OR2T2	Q6IF00
OR2J3	O76001
OR2T4	Q8NH00
OR5V1	Q9UGF6
OR2T7	P0C7T2
OR2T1	O43869
OR2T3	Q8NH03
OR14J1	Q9UGF5
OR2T5	Q6IEZ7
LILRA4	P59901
IRF7	Q92985
LY6G6F	Q5SQ64
SMN1	Q16637
HLA-G	P17693
OR8U9	P0C7N5
MMEL1	Q495T6
PSORS1C1	Q9UIG5
OR5T3	Q8NGG3
OR2W1	Q9Y3N9
OR5T2	Q8NGG2
OR8K3	Q8NH51
OR8H1	Q8NGG4
OR5T1	Q8NG75
OR8K1	Q8NGG5
OR8J1	Q8NGP2
SERF1A	O75920
KRTAP5-5	Q701N2
PPP1R11	O60927
ZNF311	Q5JNZ3
MAS1L	P35410
OR2H2	O95918
LINC01556	Q5JQF7
CLK2	P49760
LTB	Q06643
ZFP57	Q9NU63
LAIR1	Q6GTX8
KIR3DX1	Q9H7L2
PANK4	Q9NVE7
HRAS	P01112
NEU1	Q99519
APOM	O95445
RPS9	P46781
TRIM10	Q9UDY6
PKLR	P30613
LILRB2	Q8N423
PSMB9	P28065
PLCH2	O75038
RASSF7	Q02833
GNL1	P36915
PPP1R10	Q96QC0
LAIR2	Q6ISS4
HES5	Q5TA89
UTP4	Q969X6
SCAMP3	O14828
VSTM1	Q6UX27
MBOAT7	Q96N66
MRPS18B	Q9Y676
NLRP2	Q9NX02
CTSO	P43234
UGT2A3	Q6UWM9
UGT2B10	P36537
CNOT3	O75175
TDO2	P48775
C4B_2	P0C0L5
LY6G5C	Q5SRR4
ATAT1	Q5SQI0
	Q8WZ33
NRM	Q8IXM6
HSPA1A	P0DMV8
LENG1	Q96BZ8
NDUFA3	O95167
HSPA1L	P34931
FAM120B	Q96EK7
SCT	P09683
GPSM3	Q9Y4H4
DLL1	O00548
STK19	P49842
RDH13	Q8NBN7
TSEN34	Q9BSV6
LSM2	Q9Y333
HCN3	Q9P1Z3
LILRA5	A6NI73
OR12D2	P58182
PRRT1	Q99946
TRIM27	P14373
YTHDC1	Q96MU7
DENND11	A4D1U4
RPP21	Q9H633
OR12D3	Q9UGF7
OR2J2	O76002
ZNF676	Q8N7Q3
NLRP7	Q8WX94
LILRA2	Q8N149
ENTREP3	P81408
NKD2	Q969F2
MICB	Q29980
OSCAR	Q8IYS5
ABHD16A	O95870
NCR1	O76036
DEFB104B	Q8WTQ1
DEFB105B	Q8NG35
LILRA3	Q8N6C8
SSBP1	Q04837
BTNL2	Q9UIR0
PRR23D1	E9PI22
TFPT	P0C1Z6
DEFB4B	O15263
SLC5A8	Q8N695
SAPCD1	Q5SSQ6
DEFB103B	P81534
NAIP	Q13075
ANO4	Q32M45
PSORS1C2	Q9UIG4
DEFB107B	Q8IZN7
TARM1	B6A8C7
LST1	O00453
AGK	Q53H12
CEACAM4	O75871
TAF9	Q16594
WEE2	P0C1S8
SPAG11B	Q08648
CEACAM21	Q3KPI0
DEFB106B	Q8N104
HLA-DRB4	P13762
OR10A3	P58181
OR5P2	Q8WZ92
OR5P3	Q8WZ94
OR10A6	Q8NH74
NLRP10	Q86W26
GABBR1	Q9UBS5
HLA-DRA	P01903
KIR3DS1	Q14943
TRIM39	Q9HCM9
POMZP3	Q6PJE2
POLR1H	Q9P1U0
UPK3B	Q9BT76
ATP23	Q9Y6H3
RNF39	Q9H2S5
VWA7	Q9Y334
OR2H1	Q9GZK4
PRAMEF5	Q5TYX0
PRAMEF8	Q5VWM4
DDAH2	O95865
C2	P06681
TBX22	Q9Y458
PRAMEF25	A6NGN4
TRBV11-1	A0A0K0K1C0
TRBV10-1	A0A0K0K1A3
TRBV11-3	A0A5A6
B3GALT4	O96024
TMEM179	Q6ZVK1
TRBV7-1	A0A0A6YYK4
TRBV17	A0A087X0K7
TRBV5-7	A0A0A0MS05
TRBV27	A0A0K0K1C4
TRBV7-2	A0A1B0GXF2
RXRB	P28702
C14orf180	Q8N912
PHLDA2	Q53GA4
TAP1	Q03518
TRBJ1-6	A0A0J9YWX3
TRBJ1-5	A0A0J9YXM7
	A0A589
TRBV10-2	A0A0K0K1G8
IQSEC3	Q9UPP2
LLCFC1	Q96L11
