gene	nbenign	npatho	threshold	ppv	npv	sens	spec	foldingSuccessRate
MEFV	25	29	0.662598	70	55.8823529411765	48.2758620689655	76	0.78740157480315
CFTR	19	41	1.3927	90.3225806451613	55.1724137931034	68.2926829268293	84.2105263157895	1
MECP2	32	28	1.74876	82.3529411764706	67.4418604651163	50	90.625	0.367965367965368
TERT	23	8	0.845138	55.5555555555556	86.3636363636364	62.5	82.6086956521739	0.885245901639344
CACNA1A	58	25	0.810519	40.625	76.4705882352941	52	67.2413793103448	0.442253521126761
MLH1	32	51	1.2836	92.6829268292683	69.047619047619	74.5098039215686	90.625	0.260473588342441
SOS1	26	32	0.686455	74.2857142857143	73.9130434782609	81.25	65.3846153846154	0.542682926829268
FGFR3	30	22	0.559927	58.8235294117647	65.7142857142857	45.4545454545455	76.6666666666667	0.408088235294118
ATP7B	32	37	1.76157	90.4761904761905	62.5	51.3513513513513	93.75	0.290055248618785
SCN5A	45	59	0.980113	88.0952380952381	64.5161290322581	62.7118644067797	88.8888888888889	0.39622641509434
MUTYH	31	21	1.1337	83.3333333333333	82.3529411764706	71.4285714285714	90.3225806451613	0.194148936170213
MAPT	23	12	2.74576	42.8571428571429	67.8571428571429	25	82.6086956521739	0.264150943396226
FGFR1	11	21	1.55818	85.7142857142857	50	57.1428571428571	81.8181818181818	0.184466019417476
LDLR	40	282	1.47182	96.045197740113	22.7586206896552	60.2836879432624	82.5	0.360433604336043
SCN1A	20	81	1.27187	100	39.2156862745098	61.7283950617284	100	0.287694974003466
BRCA1	260	58	1.51965	50.7042253521127	91.0931174089069	62.0689655172414	86.5384615384615	0.420059582919563
FGFR2	19	45	1.15762	96.6666666666667	52.9411764705882	64.4444444444444	94.7368421052632	0.232758620689655
GNAS	43	17	2.21271	61.5384615384615	80.8510638297872	47.0588235294118	88.3720930232558	0.341549295774648
PLCG2	30	1	13.2818	100	100	100	100	1
ABCG8	31	29	2.26474	72.7272727272727	65.7894736842105	55.1724137931034	80.6451612903226	0.690265486725664
SCN10A	68	9	0.519094	20.5882352941176	95.3488372093023	77.7777777777778	60.2941176470588	0.49221183800623
KCNH2	15	27	0.758942	87.5	66.6666666666667	77.7777777777778	80	0.59748427672956
ABCA1	67	42	0.00468875	52	91.1764705882353	92.8571428571429	46.2686567164179	1
SCN8A	21	21	0.9845115	64.7058823529412	60	52.3809523809524	71.4285714285714	0.728813559322034
PTEN	6	49	1.67464	100	33.3333333333333	75.5102040816327	100	0.434065934065934
MET	21	10	-0.165098	41.6666666666667	100	100	33.3333333333333	0.494949494949495
RAF1	5	19	0.160336	86.6666666666667	33.3333333333333	68.421052631579	60	0.254777070063694
F8	21	71	1.32856	91.3793103448276	47.0588235294118	74.6478873239437	76.1904761904762	0.821917808219178
TSC2	120	102	1.9697	83.1460674157303	78.9473684210526	72.5490196078431	87.5	0.196278511404562
